,Quality,LowVol,Value,Momentum,SPX
31.12.2023,100,100,100,100,100
02.01.2024,99.59,101.23,101.02,98.45,99.43705503
03.01.2024,98.33,101.11,100,97.21,98.64405204
04.01.2024,98.32,101.07,99.69,97.05,98.31881431
05.01.2024,98.21,100.96,100.75,97.14,98.4984261
08.01.2024,99.35,101.43,101.25,98.83,99.89049006
09.01.2024,99.02,101.35,100.23,98.8,99.75696734
10.01.2024,99.47,101.3,100.06,99.67,100.3237853
11.01.2024,99.55,100.8,99.6,100.05,100.260074
12.01.2024,99.73,101.26,98.79,100.09,100.3439251
16.01.2024,99.17,100.93,97.8,100.08,99.97095227
17.01.2024,98.76,100.69,96.92,99.61,99.41149302
18.01.2024,99.54,100.73,96.76,100.87,100.2949313
19.01.2024,100.57,100.89,97.68,102.27,101.5357534
22.01.2024,101.06,100.79,98.09,102.91,101.7584526
23.01.2024,101.23,101.34,98.18,102.59,102.0580316
24.01.2024,100.76,100.47,98.21,102.55,102.1418827
25.01.2024,101.51,101.32,99.54,103.39,102.6849784
26.01.2024,101.42,101.41,99.89,102.9,102.6181686
29.01.2024,102.05,101.62,100.1,103.86,103.395389
30.01.2024,102.24,102.21,100.77,103.9,103.3416507
31.01.2024,100.71,101.62,99.38,102.46,101.6804111
01.02.2024,101.6,102.62,99.61,104.12,102.9561873
02.02.2024,102.06,102.04,99.24,104.89,104.0610661
05.02.2024,101.68,101.05,97.96,104.47,103.7305029
06.02.2024,102.18,101.52,98.37,104.48,103.9731483
07.02.2024,102.81,101.57,98.49,105.49,104.8314118
08.02.2024,102.56,101.15,98.63,106.08,104.9045153
09.02.2024,103.01,101.13,98.8,106.58,105.5169382
12.02.2024,103.02,101.65,100.3,106.26,105.4181759
13.02.2024,101.44,101.11,98.13,104.81,103.9890277
14.02.2024,102.39,101.23,99.01,106.25,105.0048268
15.02.2024,102.98,102.13,100.77,106.81,105.6399069
16.02.2024,102.42,102.04,100.41,105.9,105.149194
20.02.2024,102.35,102.41,100.28,105.35,104.5214726
21.02.2024,102.59,103.08,100.81,105.02,104.6582874
22.02.2024,103.79,103.44,101.29,107.65,106.8745322
23.02.2024,104.19,103.86,101.55,107.96,106.9140371
26.02.2024,103.69,103.06,100.82,108.21,106.5131785
27.02.2024,103.79,103.31,101.58,108.58,106.6965665
28.02.2024,103.94,103.31,101.29,108.68,106.5296388
29.02.2024,104.1,103.27,102.08,109.56,107.109722
01.03.2024,104.75,103.03,102.12,111.09,107.9736983
04.03.2024,104.86,103.36,102.23,111.27,107.8486962
05.03.2024,103.93,103.22,102.75,110.19,106.7519508
06.03.2024,104.6,103.99,103.1,110.81,107.3086021
07.03.2024,105.38,104.22,103.84,112.03,108.4292635
08.03.2024,105.11,104.55,104.02,111.12,107.7290196
11.03.2024,105.31,105.28,104.65,110.39,107.6083747
12.03.2024,105.89,105.19,104.5,111.77,108.8172443
13.03.2024,105.86,105.18,105.21,111.43,108.612361
14.03.2024,105.3,104.55,104.06,110.7,108.3272091
15.03.2024,104.92,104.61,104.42,109.93,107.6285144
18.03.2024,105.14,104.93,104.78,110.56,108.3096836
19.03.2024,105.6,105.62,105.63,111.4,108.9215256
20.03.2024,106.31,105.58,107.08,112.85,109.9058563
21.03.2024,106.75,105.63,107.86,114.02,110.2641116
22.03.2024,106.1,105.47,107.19,113.42,110.115
25.03.2024,105.65,105.33,107.63,113.04,109.7785304
26.03.2024,105.54,105.32,107.37,113.2,109.4713023
27.03.2024,107.05,106.93,109.46,114.15,110.4292964
28.03.2024,107.38,107.31,110.5,114.3,110.5559445
01.04.2024,106.65,106.78,109.87,113.89,110.3337294
02.04.2024,105.9,106.3,108.89,112.67,109.5380152
03.04.2024,105.87,105.67,109.37,113.57,109.6627268
04.04.2024,104.92,104.96,108.43,111.85,108.3237234
05.04.2024,105.86,105.2,108.79,113.47,109.5263962
08.04.2024,105.95,105.16,109.06,113.53,109.4872785
09.04.2024,106.3,105.24,109.04,112.81,109.6612744
10.04.2024,104.78,104.24,107,111.28,108.6262071
11.04.2024,104.15,103.07,106.17,111.93,109.4376069
12.04.2024,102.85,102.33,104.58,110.15,107.8578946
15.04.2024,101.83,102.01,103.98,108.87,106.5626564
16.04.2024,101.46,101.79,102.95,108.92,106.3436366
17.04.2024,100.84,102.27,103.21,107.84,105.728793
18.04.2024,100.5,102.81,103.76,107.17,105.502027
19.04.2024,100.61,104.17,105.32,105.91,104.5830537
22.04.2024,101.4,104.71,106.27,106.93,105.4962175
23.04.2024,102.19,105.05,106.66,108.77,106.7606651
24.04.2024,102.07,105.34,106.72,109.08,106.7839033
25.04.2024,101.39,104.93,105.99,108.9,106.297257
26.04.2024,101.81,104.08,105.69,109.61,107.384223
29.04.2024,102.32,104.76,106.54,110.14,107.7310529
30.04.2024,101.12,104.16,104.51,108.31,106.0402815
